trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.875}",25,0,-98.60120850133771,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
2,False,"{'a': 0.25, 'e': 0.85}",20,14,-3.993162243987781,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.25, 'e': 0.825}",20,0,-94.65708658215418,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.7999999999999999}",20,0,-72.10801511294063,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.7749999999999999}",25,0,-43.598454279632264,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.25, 'e': 0.7499999999999999}",30,17,-3.7846425619760553,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.25, 'e': 0.7249999999999999}",20,0,-98.79206456097617,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.25, 'e': 0.6999999999999998}",20,9,-26.431580395930734,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.25, 'e': 0.6749999999999998}",30,7,-28.349311926728454,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.25, 'e': 0.6499999999999998}",20,0,-8.133605304593688,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.25, 'e': 0.6249999999999998}",30,15,-46.318448191323704,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.25, 'e': 0.5999999999999998}",25,9,0.3359384980797324,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.25, 'e': 0.5749999999999997}",20,0,-77.2426148732271,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.25, 'e': 0.5499999999999997}",20,0,-87.60775358844565,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.5249999999999997}",25,0,-178.36810057576056,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",1
