trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.34680195593265,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-220.65666669680195,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.86214667161097,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.795235895736624,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.57005671829248,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.48859342883696,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.14373801408513,"{0: 17, 1: 8, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.57454961332442,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.10744210990157,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.466496169839985,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.85935742161595,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.29211544196409,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-119.6017797038998,"{0: 21, 1: 6, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.42297543506496,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.3263836759587,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.92193332737966,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.51361707933793,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.607353429139245,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.09096806199605,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.31781329526733,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-58.29611417176609,"{0: 14, 1: 8, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.39662288934016,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.9621684172204,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,3,-146.94718356197373,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.9503312145304,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,18,-81.63538259911996,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.79713640052286,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.16506984574612,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.54182100621497,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-198.41185059217463,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
